,review,rating
176, where to start tell meanything to say about this hotel will be unspeakablewhy because in the  years i have been traveling i have not encountered worse service a worse hotel i have traveled all over greece and abroad a thousand hotels a thousand and one nights i dont recommend it to anyone days almost  a day for a suite that the almighty will make it  i knew it i paid it how can i imagine the misfortune  week  times they have come in for cleaning no change of sheets towels disinfection none  coffee capsules they dont leave what i drank soft i saw the water they are obliged to leave me with binoculars even toilet paper they dont leave but you tell me it has a bidet sit down and wash your butt ok why not ill put up with this too the ashtray  days out with the cigarette butts all the way up youll tell me again smoke less or cut out what else am i going to do now when you say it was missing i went and bought it myself i didnt get towelsbut they took care of thatthe captain is across the street i have prepaid breakfast for  per day  times they offered to bring it to the room this is the hotels policyto bring it to the roomfrom monday to friday here we laugh  and both times i informed them to bring it they lost my tab they said they didnt know the time and which breakfast i prefer  and later when they found out nothing changed believe me  maybe they are people who digest or dont digest someone or dont know what happens to them in a few words  or maybe again if i was with my partner and not like the reed in the plain  they would have behaved differently  i dont know what to assume anyway i came from abroad to calm down because like everyone we had a hard time because of the confinement and i gained more psychologically  i didnt want more than what was required nor am i a difficult person sorry if i upset some people which i dont believe otherwise something would have changed a week now and an apology i would expect from you too but for you this is classified in the fine print probably and the reviews are there to become better after all if you can see from your nose that it is higher than the th floor of this suite sincerely elizabeth kalaitzogloups in the morning i hope you wont wait for me with a kalashnikov in your hand  thats what they do in this guesthouse i would call it they greet you with a smile and then leave you at your mercy for the negative review  because i have complained  times to  different people as a customer but they are not listened to,1/5
177, new recently renovated city hotel amazing location close to everything mediumsized rooms courteous and highquality service,5/5
178, the breakfast is great the room is very clean and new the only problem is the parking lot and the entrance to the shower cabin is very narrow,5/5
179, a great hotel with prompt and wonderful service clean with delicious food and very close to aristotelouseverything was excellent the staff was polite and willing to help with everything ,5/5
180, new clean hotelbut everything is very very crowdedits location is excellent,3/5
181, the room was excellent the employees were excellent friendly direct and very very helpful always with a smile also all of them were willing to serve you despite the pressure of the tif ,5/5
182, we stopped on the way all the staff were very friendly we accidentally made the wrong bookingdate entered was helped immediately very clean,5/5
183, modern european city hotelstaff extremely kindthe bathroom excels in aesthetics and functionality rarethe bed is excellent usually when i sleep away from home i sufferspacious room fully equippedquality breakfast tasty super full with very beautiful ideasideal location for walking around thessaloniki,4/5
184, very kind and smiling staff very nice rooms good breakfast,5/5
185, convenient location in the city center close to many good bars and restaurantsthe hotel is new and stylish cleanliness food staff  everything is at the highest level,5/5
186, clean rooms kind staff very nice aesthetics of all countries very good breakfast excellent location,5/5
187, amazing value for money a small hotel that provides you with everything in a very good part of the citywell done,5/5
188, excellent environment elegant decoration kindest staff fully equipped and very rich breakfast our stay at this hotel left us with very good impressions,5/5
189, beautiful rooms very good location hotel staff always smiling and willing to help you,4/5
190, anna is amazing at the reception always with a smile and willing to serve with pleasure congratulations,5/5
191, in a central part of thessaloniki you dont need a car you can easily walk it clean and tasteful friendly staff willing to serve you rich breakfast we will go again at the first opportunity,5/5
192, spotlessly clean kind staff attentive and delicious breakfast and most importantly in the city center i highly recommend it,5/5
193, a simply magical hotel with a fantastic location by far the best in the city center,5/5
194, brand new hotel in the city center with high aesthetic design professional services and easy access to the city centeran excellent choice for accommodation in thessaloniki,5/5
195, modern pleasant staff clean rooms excellent breakfast and most importantly in the city center,5/5
196, perfect hotel very neat in a convenient location with very kind staff,5/5
197, very good city hotel excellent staff,5/5
198, top hotel in the heart of thessalonikibusiness hotel,5/5
199, the parking is a bit far from the hotel the only negative thing i have to say,5/5
200, helpful and polite staff hotel location comfortable room,5/5
201, beautiful hotel attention to detail with amazing care and friendly staff all the money in the morning amazing flavors and very healthy,5/5
202, perfect stay perfect facilities cleanliness everything was perfect,5/5
203, hotel in an extremely convenient location spotlessly clean and with impeccable service the rooms are fully equipped,5/5
204, great location great facilities great service,5/5
205, the most advanced thing i have seen in the center of the city perfect service with five clean brand new spaces very tasty food polite staff highly recommend it,5/5
206, excellenteverything amazing wonderful space very helpful and hospital staffthanks for the accommodation,5/5
207, a small roomvery clean and nicely equipped,4/5
208, place service missile shell,5/5
209, impeccable service and courtesylike a hotel that provides a five star,5/5
210, impeccable accommodation very kind staff very clean spaces,5/5
211, excellent service friendly staff clean rooms nice breakfast,5/5
212, everything perfectspotlessly clean and very kind staff,5/5
213, a great choice in the city center,5/5
214, ,5/5
215, very small rooms,5/5
216, very good staff very kind ,5/5
217, excellent very hospitable,5/5
218, the staff is really excellent,4/5
219, excellent hotel,5/5
220, everything was great,5/5
221, perfect stay friendly staff something completely special,5/5
222, excellent,5/5
223, expensive,1/5
224, excellent service,5/5
225, unique experience,5/5
226, everything perfect,5/5
227, everything perfect,5/5
